Time (seconds)	Synchronized Synthetic MI Data (S_21 (dB))	
0.0333	-39.7086+0.7896i
0.0667	-39.7164+0.7896i
0.1000	-39.6684+0.7896i
0.1333	-39.6358+0.7896i
0.1666	-39.5552+0.7896i
0.2000	-39.5005+0.7896i
0.2333	-39.4788+0.7896i
0.2666	-39.5068+0.7896i
0.2999	-39.5877+0.7896i
0.3333	-39.7107+0.7896i
0.3666	-39.8706+0.7896i
0.3999	-39.9883+0.7896i
0.4332	-40.1318+0.7896i
0.4666	-40.2587+0.7896i
0.4999	-40.3867+0.7896i
0.5332	-40.5274+0.7896i
0.5665	-40.7356+0.7896i
0.5999	-40.9933+0.7896i
0.6332	-41.3463+0.7896i
0.6665	-41.7676+0.7896i
0.6999	-42.2289+0.7896i
0.7332	-42.6829+0.7896i
0.7665	-43.1615+0.7896i
0.7998	-43.6040+0.7896i
0.8332	-44.1495+0.7896i
0.8665	-44.6840+0.7896i
0.8998	-45.2080+0.7896i
0.9331	-45.7217+0.7896i
0.9665	-46.3242+0.7896i
0.9998	-47.0337+0.7896i
1.0331	-47.8433+0.7896i
1.0664	-48.6428+0.7896i
1.0998	-49.4502+0.7896i
1.1331	-50.2079+0.7896i
1.1664	-50.9512+0.7896i
1.1997	-51.6515+0.7896i
1.2331	-52.2270+0.7896i
1.2664	-52.6632+0.7896i
1.2997	-52.9493+0.7896i
1.3330	-53.0808+0.7896i
1.3664	-53.1392+0.7896i
1.3997	-53.1666+0.7896i
1.4330	-53.2146+0.7896i
1.4664	-53.2657+0.7896i
1.4997	-53.1500+0.7896i
1.5330	-53.0182+0.7896i
1.5663	-52.8973+0.7896i
1.5997	-52.7985+0.7896i
1.6330	-52.7085+0.7896i
1.6663	-52.7320+0.7896i
1.6996	-52.8664+0.7896i
1.7330	-52.7968+0.7896i
1.7663	-52.7880+0.7896i
1.7996	-52.8072+0.7896i
1.8329	-52.8431+0.7896i
1.8663	-52.7092+0.7896i
1.8996	-52.4869+0.7896i
1.9329	-52.2372+0.7896i
1.9662	-51.9352+0.7896i
1.9996	-51.5086+0.7896i
2.0329	-50.9687+0.7896i
2.0662	-50.3372+0.7896i
2.0996	-49.6260+0.7896i
2.1329	-48.9571+0.7896i
2.1662	-48.3308+0.7896i
2.1995	-47.8401+0.7896i
2.2329	-47.5610+0.7896i
2.2662	-47.3835+0.7896i
2.2995	-47.3018+0.7896i
2.3328	-47.2779+0.7896i
2.3662	-47.2136+0.7896i
2.3995	-47.1371+0.7896i
2.4328	-47.0516+0.7896i
2.4661	-46.9486+0.7896i
2.4995	-46.8653+0.7896i
2.5328	-46.8146+0.7896i
2.5661	-46.7753+0.7896i
2.5994	-46.7845+0.7896i
2.6328	-46.7886+0.7896i
2.6661	-46.8186+0.7896i
2.6994	-46.8862+0.7896i
2.7327	-46.9468+0.7896i
2.7661	-47.0457+0.7896i
2.7994	-47.1481+0.7896i
2.8327	-47.2150+0.7896i
2.8661	-47.2997+0.7896i
2.8994	-47.3688+0.7896i
2.9327	-47.3963+0.7896i
2.9660	-47.4382+0.7896i
2.9994	-47.4814+0.7896i
3.0327	-47.5733+0.7896i
3.0660	-47.6589+0.7896i
3.0993	-47.7588+0.7896i
3.1327	-47.8744+0.7896i
3.1660	-47.9892+0.7896i
3.1993	-48.1152+0.7896i
3.2326	-48.2781+0.7896i
3.2660	-48.4167+0.7896i
3.2993	-48.4931+0.7896i
3.3326	-48.4762+0.7896i
3.3659	-48.3758+0.7896i
3.3993	-48.1633+0.7896i
3.4326	-47.8733+0.7896i
3.4659	-47.5074+0.7896i
3.4993	-47.1193+0.7896i
3.5326	-46.7638+0.7896i
3.5659	-46.4085+0.7896i
3.5992	-46.1259+0.7896i
3.6326	-45.9212+0.7896i
3.6659	-45.8254+0.7896i
3.6992	-45.7313+0.7896i
3.7325	-45.6361+0.7896i
3.7659	-45.5598+0.7896i
3.7992	-45.5244+0.7896i
3.8325	-45.4577+0.7896i
3.8658	-45.4349+0.7896i
3.8992	-45.4500+0.7896i
3.9325	-45.5514+0.7896i
3.9658	-45.7692+0.7896i
3.9991	-46.1724+0.7896i
4.0325	-46.7463+0.7896i
4.0658	-47.4988+0.7896i
4.0991	-48.3989+0.7896i
4.1324	-49.3272+0.7896i
4.1658	-50.1342+0.7896i
4.1991	-50.9297+0.7896i
4.2324	-51.4041+0.7896i
4.2658	-51.8153+0.7896i
4.2991	-52.1232+0.7896i
4.3324	-52.4022+0.7896i
4.3657	-52.7107+0.7896i
4.3991	-53.0722+0.7896i
4.4324	-53.4464+0.7896i
4.4657	-53.8615+0.7896i
4.4990	-54.2932+0.7896i
4.5324	-54.6440+0.7896i
4.5657	-54.9825+0.7896i
4.5990	-55.2725+0.7896i
4.6323	-55.5637+0.7896i
4.6657	-55.8414+0.7896i
4.6990	-56.0966+0.7896i
4.7323	-56.3408+0.7896i
4.7656	-56.5130+0.7896i
4.7990	-56.7083+0.7896i
4.8323	-56.7716+0.7896i
4.8656	-56.8048+0.7896i
4.8990	-56.6665+0.7896i
4.9323	-56.5296+0.7896i
4.9656	-56.3942+0.7896i
4.9989	-56.1172+0.7896i
5.0323	-55.8008+0.7896i
5.0656	-55.4949+0.7896i
5.0989	-55.1921+0.7896i
5.1322	-54.9310+0.7896i
5.1656	-54.6674+0.7896i
5.1989	-54.4217+0.7896i
5.2322	-54.1981+0.7896i
5.2655	-54.0187+0.7896i
5.2989	-53.8878+0.7896i
5.3322	-53.7179+0.7896i
5.3655	-53.5672+0.7896i
5.3988	-53.3824+0.7896i
5.4322	-53.1943+0.7896i
5.4655	-52.9504+0.7896i
5.4988	-52.7185+0.7896i
5.5321	-52.5006+0.7896i
5.5655	-52.2795+0.7896i
5.5988	-52.1014+0.7896i
5.6321	-51.9185+0.7896i
5.6655	-51.7564+0.7896i
5.6988	-51.5865+0.7896i
5.7321	-51.3896+0.7896i
5.7654	-51.1513+0.7896i
5.7988	-50.7699+0.7896i
5.8321	-50.2572+0.7896i
5.8654	-49.6012+0.7896i
5.8987	-48.7896+0.7896i
5.9321	-47.9452+0.7896i
5.9654	-47.1077+0.7896i
5.9987	-46.2996+0.7896i
6.0320	-45.4737+0.7896i
6.0654	-44.7530+0.7896i
6.0987	-43.9763+0.7896i
6.1320	-43.2541+0.7896i
6.1653	-42.6206+0.7896i
6.1987	-42.0453+0.7896i
6.2320	-41.4416+0.7896i
6.2653	-40.9245+0.7896i
6.2987	-40.3254+0.7896i
6.3320	-39.7578+0.7896i
6.3653	-39.1787+0.7896i
6.3986	-38.5780+0.7896i
6.4320	-37.9459+0.7896i
6.4653	-37.2869+0.7896i
6.4986	-36.5282+0.7896i
6.5319	-35.7013+0.7896i
6.5653	-34.8623+0.7896i
6.5986	-34.0091+0.7896i
6.6319	-33.2222+0.7897i
6.6652	-32.5875+0.7897i
6.6986	-32.1804+0.7897i
6.7319	-31.9989+0.7897i
6.7652	-32.0025+0.7897i
6.7985	-32.0881+0.7897i
6.8319	-32.2029+0.7897i
6.8652	-32.3807+0.7897i
6.8985	-32.5839+0.7897i
6.9318	-32.7386+0.7897i
6.9652	-32.7467+0.7897i
6.9985	-32.6469+0.7897i
7.0318	-32.5070+0.7897i
7.0652	-32.4324+0.7897i
7.0985	-32.4174+0.7897i
7.1318	-32.5463+0.7897i
7.1651	-32.8329+0.7897i
7.1985	-33.2739+0.7897i
7.2318	-33.8537+0.7896i
7.2651	-34.4061+0.7896i
7.2984	-34.9663+0.7896i
7.3318	-35.5410+0.7896i
7.3651	-36.4690+0.7896i
7.3984	-37.4910+0.7896i
7.4317	-38.5467+0.7896i
7.4651	-39.8195+0.7896i
7.4984	-41.1279+0.7896i
7.5317	-42.2507+0.7896i
7.5650	-43.2575+0.7896i
7.5984	-43.8450+0.7896i
7.6317	-44.3460+0.7896i
7.6650	-44.9055+0.7896i
7.6984	-45.4577+0.7896i
7.7317	-45.9798+0.7896i
7.7650	-46.5942+0.7896i
7.7983	-47.3035+0.7896i
7.8317	-48.0307+0.7896i
7.8650	-48.7558+0.7896i
7.8983	-49.4283+0.7896i
7.9316	-49.8186+0.7896i
7.9650	-50.0470+0.7896i
7.9983	-50.0893+0.7896i
8.0316	-50.0954+0.7896i
8.0649	-50.0414+0.7896i
8.0983	-49.9755+0.7896i
8.1316	-49.9111+0.7896i
8.1649	-49.8483+0.7896i
8.1982	-49.5675+0.7896i
8.2316	-49.3582+0.7896i
8.2649	-49.1792+0.7896i
8.2982	-49.0222+0.7896i
8.3315	-48.8691+0.7896i
8.3649	-48.6687+0.7896i
