Time (seconds)	Synthetic MI Data (S_21 (dB))	
0.0000	-39.7790+0.7896i
0.0333	-39.7893+0.7896i
0.0667	-39.7920+0.7896i
0.1000	-39.7709+0.7896i
0.1333	-39.7939+0.7896i
0.1666	-39.7883+0.7896i
0.2000	-39.7914+0.7896i
0.2333	-39.7694+0.7896i
0.2666	-39.7857+0.7896i
0.2999	-39.7762+0.7896i
0.3333	-39.7881+0.7896i
0.3666	-39.7918+0.7896i
0.3999	-39.7457+0.7896i
0.4332	-39.7559+0.7896i
0.4666	-39.7512+0.7896i
0.4999	-39.7391+0.7896i
0.5332	-39.7329+0.7896i
0.5665	-39.7187+0.7896i
0.5999	-39.7179+0.7896i
0.6332	-39.7086+0.7896i
0.6665	-39.7164+0.7896i
0.6999	-39.6684+0.7896i
0.7332	-39.6358+0.7896i
0.7665	-39.5552+0.7896i
0.7998	-39.5005+0.7896i
0.8332	-39.4788+0.7896i
0.8665	-39.5068+0.7896i
0.8998	-39.5877+0.7896i
0.9331	-39.7107+0.7896i
0.9665	-39.8706+0.7896i
0.9998	-39.9883+0.7896i
1.0331	-40.1318+0.7896i
1.0664	-40.2587+0.7896i
1.0998	-40.3867+0.7896i
1.1331	-40.5274+0.7896i
1.1664	-40.7356+0.7896i
1.1997	-40.9933+0.7896i
1.2331	-41.3463+0.7896i
1.2664	-41.7676+0.7896i
1.2997	-42.2289+0.7896i
1.3330	-42.6829+0.7896i
1.3664	-43.1615+0.7896i
1.3997	-43.6040+0.7896i
1.4330	-44.1495+0.7896i
1.4664	-44.6840+0.7896i
1.4997	-45.2080+0.7896i
1.5330	-45.7217+0.7896i
1.5663	-46.3242+0.7896i
1.5997	-47.0337+0.7896i
1.6330	-47.8433+0.7896i
1.6663	-48.6428+0.7896i
1.6996	-49.4502+0.7896i
1.7330	-50.2079+0.7896i
1.7663	-50.9512+0.7896i
1.7996	-51.6515+0.7896i
1.8329	-52.2270+0.7896i
1.8663	-52.6632+0.7896i
1.8996	-52.9493+0.7896i
1.9329	-53.0808+0.7896i
1.9662	-53.1392+0.7896i
1.9996	-53.1666+0.7896i
2.0329	-53.2146+0.7896i
2.0662	-53.2657+0.7896i
2.0996	-53.1500+0.7896i
2.1329	-53.0182+0.7896i
2.1662	-52.8973+0.7896i
2.1995	-52.7985+0.7896i
2.2329	-52.7085+0.7896i
2.2662	-52.7320+0.7896i
2.2995	-52.8664+0.7896i
2.3328	-52.7968+0.7896i
2.3662	-52.7880+0.7896i
2.3995	-52.8072+0.7896i
2.4328	-52.8431+0.7896i
2.4661	-52.7092+0.7896i
2.4995	-52.4869+0.7896i
2.5328	-52.2372+0.7896i
2.5661	-51.9352+0.7896i
2.5994	-51.5086+0.7896i
2.6328	-50.9687+0.7896i
2.6661	-50.3372+0.7896i
2.6994	-49.6260+0.7896i
2.7327	-48.9571+0.7896i
2.7661	-48.3308+0.7896i
2.7994	-47.8401+0.7896i
2.8327	-47.5610+0.7896i
2.8661	-47.3835+0.7896i
2.8994	-47.3018+0.7896i
2.9327	-47.2779+0.7896i
2.9660	-47.2136+0.7896i
2.9994	-47.1371+0.7896i
3.0327	-47.0516+0.7896i
3.0660	-46.9486+0.7896i
3.0993	-46.8653+0.7896i
3.1327	-46.8146+0.7896i
3.1660	-46.7753+0.7896i
3.1993	-46.7845+0.7896i
3.2326	-46.7886+0.7896i
3.2660	-46.8186+0.7896i
3.2993	-46.8862+0.7896i
3.3326	-46.9468+0.7896i
3.3659	-47.0457+0.7896i
3.3993	-47.1481+0.7896i
3.4326	-47.2150+0.7896i
3.4659	-47.2997+0.7896i
3.4993	-47.3688+0.7896i
3.5326	-47.3963+0.7896i
3.5659	-47.4382+0.7896i
3.5992	-47.4814+0.7896i
3.6326	-47.5733+0.7896i
3.6659	-47.6589+0.7896i
3.6992	-47.7588+0.7896i
3.7325	-47.8744+0.7896i
3.7659	-47.9892+0.7896i
3.7992	-48.1152+0.7896i
3.8325	-48.2781+0.7896i
3.8658	-48.4167+0.7896i
3.8992	-48.4931+0.7896i
3.9325	-48.4762+0.7896i
3.9658	-48.3758+0.7896i
3.9991	-48.1633+0.7896i
4.0325	-47.8733+0.7896i
4.0658	-47.5074+0.7896i
4.0991	-47.1193+0.7896i
4.1324	-46.7638+0.7896i
4.1658	-46.4085+0.7896i
4.1991	-46.1259+0.7896i
4.2324	-45.9212+0.7896i
4.2658	-45.8254+0.7896i
4.2991	-45.7313+0.7896i
4.3324	-45.6361+0.7896i
4.3657	-45.5598+0.7896i
4.3991	-45.5244+0.7896i
4.4324	-45.4577+0.7896i
4.4657	-45.4349+0.7896i
4.4990	-45.4500+0.7896i
4.5324	-45.5514+0.7896i
4.5657	-45.7692+0.7896i
4.5990	-46.1724+0.7896i
4.6323	-46.7463+0.7896i
4.6657	-47.4988+0.7896i
4.6990	-48.3989+0.7896i
4.7323	-49.3272+0.7896i
4.7656	-50.1342+0.7896i
4.7990	-50.9297+0.7896i
4.8323	-51.4041+0.7896i
