Time (seconds)	Synchronized Synthetic MI Data (dB)	
0.0333	-36.3486+0.7896i
0.0667	-36.3361+0.7896i
0.1000	-36.3361+0.7896i
0.1333	-36.3337+0.7896i
0.1666	-36.3497+0.7896i
0.2000	-36.3369+0.7896i
0.2333	-36.3421+0.7896i
0.2666	-36.3388+0.7896i
0.2999	-36.3216+0.7896i
0.3333	-36.3188+0.7896i
0.3666	-36.3150+0.7896i
0.3999	-36.3114+0.7896i
0.4332	-36.3003+0.7896i
0.4666	-36.2862+0.7896i
0.4999	-36.2813+0.7896i
0.5332	-36.2957+0.7896i
0.5665	-36.2905+0.7896i
0.5999	-36.2982+0.7896i
0.6332	-36.3256+0.7896i
0.6665	-36.3301+0.7896i
0.6998	-36.4233+0.7896i
0.7332	-36.6550+0.7896i
0.7665	-37.0114+0.7896i
0.7998	-37.5259+0.7896i
0.8332	-38.1409+0.7896i
0.8665	-38.9630+0.7896i
0.8998	-39.7513+0.7896i
0.9331	-40.5727+0.7896i
0.9665	-41.4016+0.7896i
0.9998	-42.1118+0.7896i
1.0331	-42.7727+0.7896i
1.0664	-43.3751+0.7896i
1.0998	-43.8901+0.7896i
1.1331	-44.4346+0.7896i
1.1664	-45.0194+0.7896i
1.1997	-45.6623+0.7896i
1.2331	-46.4262+0.7896i
1.2664	-47.2351+0.7896i
1.2997	-48.0525+0.7896i
1.3330	-48.8274+0.7896i
1.3664	-49.6028+0.7896i
1.3997	-50.2982+0.7896i
1.4330	-50.8868+0.7896i
1.4663	-51.4310+0.7896i
1.4997	-51.8495+0.7896i
1.5330	-52.1499+0.7896i
1.5663	-52.3665+0.7896i
1.5997	-52.4393+0.7896i
1.6330	-52.4173+0.7896i
1.6663	-52.3991+0.7896i
1.6996	-52.3249+0.7896i
1.7330	-52.1369+0.7896i
1.7663	-51.8275+0.7896i
1.7996	-51.4761+0.7896i
1.8329	-51.0718+0.7896i
1.8663	-50.7262+0.7896i
1.8996	-50.5109+0.7896i
