Time (seconds)	TX_1 (S_21 (dB))	TX_2 (S_21 (dB))	TX_3 (S_21 (dB))	TX_4 (S_21 (dB))	TX_5 (S_21 (dB))	TX_6 (S_21 (dB))	TX_7 (S_21 (dB))	TX_8 (S_21 (dB))	
0.0000	-14.1167-0.0145i	-30.7310-0.0622i	-12.3295+0.0100i	-7.0238+0.1819i	-27.3223-0.0609i	-36.0055-0.0630i	-11.9479+1.7178i	-31.4114-0.0624i
0.0021	-14.0975-0.0143i	-30.7225-0.0622i	-12.3284+0.0100i	-7.0367+0.1812i	-27.3380-0.0609i	-36.0945-0.0630i	-12.0421+1.7195i	-31.4741-0.0624i
0.0042	-14.1075-0.0144i	-30.7198-0.0622i	-12.3278+0.0100i	-7.0387+0.1811i	-27.3754-0.0609i	-36.0511-0.0630i	-11.9265+1.7174i	-31.5653-0.0624i
0.0063	-14.1031-0.0143i	-30.7210-0.0622i	-12.3311+0.0100i	-7.0498+0.1804i	-27.3650-0.0609i	-36.0791-0.0630i	-11.9974+1.7187i	-31.5515-0.0624i
0.0083	-14.1050-0.0144i	-30.7150-0.0622i	-12.3313+0.0099i	-7.0476+0.1806i	-27.3102-0.0609i	-36.0649-0.0630i	-12.0023+1.7188i	-31.5407-0.0624i
0.0104	-14.1058-0.0144i	-30.7022-0.0622i	-12.3308+0.0100i	-7.0508+0.1804i	-27.3234-0.0609i	-36.0645-0.0630i	-11.9826+1.7185i	-31.5749-0.0624i
0.0125	-14.1063-0.0144i	-30.6974-0.0622i	-12.3312+0.0099i	-7.0417+0.1809i	-27.3506-0.0609i	-36.0705-0.0630i	-12.0697+1.7200i	-31.5149-0.0624i
0.0146	-14.1036-0.0143i	-30.6808-0.0622i	-12.3320+0.0099i	-7.0459+0.1807i	-27.3319-0.0609i	-36.0679-0.0630i	-12.0757+1.7201i	-31.5253-0.0624i
0.0167	-14.1053-0.0144i	-30.6771-0.0622i	-12.3337+0.0099i	-7.0509+0.1804i	-27.3476-0.0609i	-36.0709-0.0630i	-12.0622+1.7199i	-31.5651-0.0624i
0.0187	-14.1055-0.0144i	-30.6818-0.0622i	-12.3336+0.0099i	-7.0526+0.1803i	-27.3443-0.0609i	-36.0669-0.0630i	-12.0930+1.7204i	-31.5580-0.0624i
0.0208	-14.1080-0.0144i	-30.6746-0.0622i	-12.3287+0.0100i	-7.0498+0.1804i	-27.2970-0.0609i	-36.0486-0.0630i	-12.1062+1.7206i	-31.5717-0.0624i
0.0229	-14.1090-0.0144i	-30.6598-0.0622i	-12.3330+0.0099i	-7.0541+0.1802i	-27.3046-0.0609i	-36.0448-0.0630i	-12.1254+1.7210i	-31.5530-0.0624i
0.0250	-14.1060-0.0144i	-30.6565-0.0622i	-12.3325+0.0099i	-7.0568+0.1800i	-27.3304-0.0609i	-36.0038-0.0630i	-12.2198+1.7226i	-31.4012-0.0624i
0.0271	-14.1118-0.0144i	-30.6692-0.0622i	-12.3329+0.0099i	-7.0673+0.1795i	-27.3210-0.0609i	-36.0064-0.0630i	-12.2036+1.7223i	-31.4374-0.0624i
0.0292	-14.0277-0.0135i	-30.5887-0.0622i	-12.3066+0.0104i	-7.0491+0.1805i	-27.3675-0.0609i	-36.0254-0.0630i	-12.2816+1.7237i	-31.6324-0.0624i
