Time (seconds)	TX1 (dB)	TX2 (dB)	TX3 (dB)	TX4 (dB)	TX5 (dB)	TX6 (dB)	TX7 (dB)	TX8 (dB)	
0.0000	-64.0641+0.7504i	-82.3072+0.7504i	-76.9360+0.7504i	-94.5073+0.7504i	-64.1102+0.7504i	-82.9437+0.7504i	-73.2061+0.7504i	-93.1113+0.7504i
0.0021	-64.0638+0.7504i	-82.3177+0.7504i	-76.9336+0.7504i	-94.5214+0.7504i	-64.1065+0.7504i	-82.9285+0.7504i	-73.2184+0.7504i	-93.1105+0.7504i
0.0042	-64.0673+0.7504i	-82.3262+0.7504i	-76.9377+0.7504i	-94.5279+0.7504i	-64.1025+0.7504i	-82.8911+0.7504i	-73.2524+0.7504i	-93.1154+0.7504i
0.0063	-64.0742+0.7504i	-82.3258+0.7504i	-76.9383+0.7504i	-94.5207+0.7504i	-64.1043+0.7504i	-82.9258+0.7504i	-73.2495+0.7504i	-93.1153+0.7504i
0.0083	-64.0713+0.7504i	-82.3138+0.7504i	-76.9345+0.7504i	-94.5173+0.7504i	-64.1031+0.7504i	-82.9208+0.7504i	-73.2478+0.7504i	-93.1147+0.7504i
0.0104	-64.0699+0.7504i	-82.3240+0.7504i	-76.9320+0.7504i	-94.5228+0.7504i	-64.1082+0.7504i	-82.9170+0.7504i	-73.2460+0.7504i	-93.1153+0.7504i
0.0125	-64.0733+0.7504i	-82.3236+0.7504i	-76.9320+0.7504i	-94.5211+0.7504i	-64.1183+0.7504i	-82.9590+0.7504i	-73.2203+0.7504i	-93.1074+0.7504i
0.0146	-64.0604+0.7504i	-82.3252+0.7504i	-76.9304+0.7504i	-94.5182+0.7504i	-64.1181+0.7504i	-82.9512+0.7504i	-73.2096+0.7504i	-93.1075+0.7504i
0.0167	-64.0672+0.7504i	-82.3418+0.7504i	-76.9332+0.7504i	-94.5267+0.7504i	-64.1058+0.7504i	-82.9168+0.7504i	-73.2567+0.7504i	-93.1133+0.7504i
0.0187	-64.0741+0.7504i	-82.3421+0.7504i	-76.9317+0.7504i	-94.5226+0.7504i	-64.1021+0.7504i	-82.9033+0.7504i	-73.2686+0.7504i	-93.1127+0.7504i
0.0208	-64.0684+0.7504i	-82.3427+0.7504i	-76.9282+0.7504i	-94.5198+0.7504i	-64.1175+0.7504i	-82.9536+0.7504i	-73.2368+0.7504i	-93.1128+0.7504i
0.0229	-64.0776+0.7504i	-82.3462+0.7504i	-76.9284+0.7504i	-94.5220+0.7504i	-64.1209+0.7504i	-82.9567+0.7504i	-73.2562+0.7504i	-93.1161+0.7504i
0.0250	-64.0706+0.7504i	-82.3347+0.7504i	-76.9269+0.7504i	-94.5225+0.7504i	-64.1069+0.7504i	-82.9120+0.7504i	-73.1961+0.7504i	-93.1148+0.7504i
0.0271	-64.0754+0.7504i	-82.3394+0.7504i	-76.9314+0.7504i	-94.5191+0.7504i	-64.1042+0.7504i	-82.9135+0.7504i	-73.2086+0.7504i	-93.1141+0.7504i
0.0292	-64.0769+0.7504i	-82.3522+0.7504i	-76.9319+0.7504i	-94.5209+0.7504i	-64.1183+0.7504i	-82.9527+0.7504i	-73.2878+0.7504i	-93.1144+0.7504i
0.0313	-64.0785+0.7504i	-82.3499+0.7504i	-76.9318+0.7504i	-94.5225+0.7504i	-64.1214+0.7504i	-82.9681+0.7504i	-73.2723+0.7504i	-93.1159+0.7504i
0.0333	-64.0844+0.7504i	-82.3598+0.7504i	-76.9306+0.7504i	-94.5185+0.7504i	-64.1053+0.7504i	-82.9112+0.7504i	-73.2735+0.7504i	-93.1158+0.7504i
0.0354	-64.0797+0.7504i	-82.3616+0.7504i	-76.9255+0.7504i	-94.5208+0.7504i	-64.1050+0.7504i	-82.9110+0.7504i	-73.2773+0.7504i	-93.1145+0.7504i
0.0375	-64.0848+0.7504i	-82.3684+0.7504i	-76.9300+0.7504i	-94.5269+0.7504i	-64.1046+0.7504i	-82.8916+0.7504i	-73.3072+0.7504i	-93.1161+0.7504i
0.0396	-64.0873+0.7504i	-82.3719+0.7504i	-76.9313+0.7504i	-94.5200+0.7504i	-64.1059+0.7504i	-82.9059+0.7504i	-73.3115+0.7504i	-93.1163+0.7504i
0.0417	-64.0864+0.7504i	-82.3691+0.7504i	-76.9273+0.7504i	-94.5160+0.7504i	-64.0958+0.7504i	-82.8664+0.7504i	-73.3198+0.7504i	-93.1192+0.7504i
0.0437	-64.0864+0.7504i	-82.3767+0.7504i	-76.9236+0.7504i	-94.5230+0.7504i	-64.0970+0.7504i	-82.8602+0.7504i	-73.3197+0.7504i	-93.1198+0.7504i
0.0458	-64.0870+0.7504i	-82.3711+0.7504i	-76.9230+0.7504i	-94.5187+0.7504i	-64.0766+0.7504i	-82.8557+0.7504i	-73.2880+0.7504i	-93.1121+0.7504i
0.0479	-64.0769+0.7504i	-82.3743+0.7504i	-76.9257+0.7504i	-94.5168+0.7504i	-64.0791+0.7504i	-82.8468+0.7504i	-73.2861+0.7504i	-93.1130+0.7504i
0.0500	-64.0827+0.7504i	-82.3938+0.7504i	-76.9281+0.7504i	-94.5256+0.7504i	-64.0940+0.7504i	-82.8538+0.7504i	-73.3371+0.7504i	-93.1175+0.7504i
0.0521	-64.0915+0.7504i	-82.3918+0.7504i	-76.9285+0.7504i	-94.5231+0.7504i	-64.0761+0.7504i	-82.8174+0.7504i	-73.3481+0.7504i	-93.1162+0.7504i
0.0542	-64.0901+0.7504i	-82.3996+0.7504i	-76.9249+0.7504i	-94.5165+0.7504i	-64.0956+0.7504i	-82.8552+0.7504i	-73.2986+0.7504i	-93.1126+0.7504i
0.0563	-64.0993+0.7504i	-82.4096+0.7504i	-76.9240+0.7504i	-94.4851+0.7504i	-64.0937+0.7504i	-82.8510+0.7504i	-73.3182+0.7504i	-93.1184+0.7504i
0.0583	-64.0969+0.7504i	-82.4022+0.7504i	-76.9233+0.7504i	-94.4882+0.7504i	-64.0972+0.7504i	-82.8552+0.7504i	-73.3128+0.7504i	-93.1169+0.7504i
0.0604	-64.0964+0.7504i	-82.4054+0.7504i	-76.9222+0.7504i	-94.5153+0.7504i	-64.0967+0.7504i	-82.8394+0.7504i	-73.3048+0.7504i	-93.1073+0.7504i
0.0625	-64.0987+0.7504i	-82.4160+0.7504i	-76.9254+0.7504i	-94.5117+0.7504i	-64.1012+0.7504i	-82.8500+0.7504i	-73.3643+0.7504i	-93.1126+0.7504i
0.0646	-64.1025+0.7504i	-82.4166+0.7504i	-76.9230+0.7504i	-94.5265+0.7504i	-64.1053+0.7504i	-82.8650+0.7504i	-73.3935+0.7504i	-93.1192+0.7504i
0.0667	-64.0993+0.7504i	-82.4042+0.7504i	-76.9198+0.7504i	-94.5175+0.7504i	-64.0767+0.7504i	-82.8627+0.7504i	-73.3573+0.7504i	-93.1136+0.7504i
0.0688	-64.0946+0.7504i	-82.4111+0.7504i	-76.9189+0.7504i	-94.5253+0.7504i	-64.0805+0.7504i	-82.8462+0.7504i	-73.3643+0.7504i	-93.1119+0.7504i
0.0708	-64.1007+0.7504i	-82.4264+0.7504i	-76.9211+0.7504i	-94.5332+0.7504i	-64.0812+0.7504i	-82.8558+0.7504i	-73.3881+0.7504i	-93.1139+0.7504i
0.0729	-64.1048+0.7504i	-82.4248+0.7504i	-76.9190+0.7504i	-94.5216+0.7504i	-64.0765+0.7504i	-82.8751+0.7504i	-73.3914+0.7504i	-93.1148+0.7504i
0.0750	-64.1050+0.7504i	-82.4272+0.7504i	-76.9171+0.7504i	-94.5246+0.7504i	-64.0811+0.7504i	-82.8740+0.7504i	-73.4142+0.7504i	-93.1180+0.7504i
0.0771	-64.0907+0.7504i	-82.4327+0.7504i	-76.9162+0.7504i	-94.5287+0.7504i	-64.0807+0.7504i	-82.8812+0.7504i	-73.3958+0.7504i	-93.1194+0.7504i
0.0792	-64.0916+0.7504i	-82.4229+0.7504i	-76.9124+0.7504i	-94.5237+0.7504i	-64.0870+0.7504i	-82.8812+0.7504i	-73.3631+0.7504i	-93.1095+0.7504i
0.0813	-64.0946+0.7504i	-82.4240+0.7504i	-76.9110+0.7504i	-94.5222+0.7504i	-64.0853+0.7504i	-82.8927+0.7504i	-73.3764+0.7504i	-93.1113+0.7504i
0.0833	-64.0922+0.7504i	-82.4278+0.7504i	-76.9134+0.7504i	-94.5323+0.7504i	-64.0844+0.7504i	-82.8962+0.7504i	-73.4368+0.7504i	-93.1184+0.7504i
0.0854	-64.1037+0.7504i	-82.4301+0.7504i	-76.9108+0.7504i	-94.5297+0.7504i	-64.0792+0.7504i	-82.8758+0.7504i	-73.4572+0.7504i	-93.1182+0.7504i
0.0875	-64.1005+0.7504i	-82.4350+0.7504i	-76.9066+0.7504i	-94.5272+0.7504i	-64.0884+0.7504i	-82.8915+0.7504i	-73.3861+0.7504i	-93.1160+0.7504i
0.0896	-64.1066+0.7504i	-82.4346+0.7504i	-76.9068+0.7504i	-94.5302+0.7504i	-64.0949+0.7504i	-82.9083+0.7504i	-73.4203+0.7504i	-93.1200+0.7504i
0.0917	-64.1084+0.7504i	-82.4433+0.7504i	-76.9049+0.7504i	-94.5263+0.7504i	-64.0897+0.7504i	-82.9027+0.7504i	-73.4431+0.7504i	-93.1187+0.7504i
0.0938	-64.1117+0.7504i	-82.4437+0.7504i	-76.9023+0.7504i	-94.5180+0.7504i	-64.0841+0.7504i	-82.8945+0.7504i	-73.4250+0.7504i	-93.1120+0.7504i
0.0958	-64.1145+0.7504i	-82.4586+0.7504i	-76.9051+0.7504i	-94.5276+0.7504i	-64.0929+0.7504i	-82.8921+0.7504i	-73.5059+0.7504i	-93.1169+0.7504i
0.0979	-64.1205+0.7504i	-82.4582+0.7504i	-76.9004+0.7504i	-94.5270+0.7504i	-64.0945+0.7504i	-82.9186+0.7504i	-73.5127+0.7504i	-93.1197+0.7504i
0.1000	-64.1192+0.7504i	-82.4489+0.7504i	-76.8965+0.7504i	-94.5199+0.7504i	-64.0915+0.7504i	-82.9272+0.7504i	-73.4956+0.7504i	-93.1172+0.7504i
0.1021	-64.1004+0.7504i	-82.4574+0.7504i	-76.8939+0.7504i	-94.5264+0.7504i	-64.0924+0.7504i	-82.9085+0.7504i	-73.5021+0.7504i	-93.1161+0.7504i
0.1042	-64.1097+0.7504i	-82.4707+0.7504i	-76.8953+0.7504i	-94.5309+0.7504i	-64.0988+0.7504i	-82.9154+0.7504i	-73.5297+0.7504i	-93.1186+0.7504i
0.1062	-64.1135+0.7504i	-82.4635+0.7504i	-76.8911+0.7504i	-94.5243+0.7504i	-64.0930+0.7504i	-82.9326+0.7504i	-73.5428+0.7504i	-93.1230+0.7504i
0.1083	-64.1071+0.7504i	-82.4605+0.7504i	-76.8859+0.7504i	-94.5184+0.7504i	-64.0983+0.7504i	-82.9523+0.7504i	-73.5531+0.7504i	-93.1208+0.7504i
0.1104	-64.1035+0.7504i	-82.4722+0.7504i	-76.8853+0.7504i	-94.5268+0.7504i	-64.1100+0.7504i	-82.9604+0.7504i	-73.5648+0.7504i	-93.1205+0.7504i
0.1125	-64.1049+0.7504i	-82.4763+0.7504i	-76.8816+0.7504i	-94.5221+0.7504i	-64.1084+0.7504i	-82.9674+0.7504i	-73.5351+0.7504i	-93.1135+0.7504i
0.1146	-64.1128+0.7504i	-82.4747+0.7504i	-76.8793+0.7504i	-94.5218+0.7504i	-64.1100+0.7504i	-82.9860+0.7504i	-73.5655+0.7504i	-93.1163+0.7504i
0.1167	-64.1127+0.7504i	-82.4879+0.7504i	-76.8814+0.7504i	-94.5328+0.7504i	-64.1039+0.7504i	-82.9857+0.7504i	-73.6441+0.7504i	-93.1224+0.7504i
0.1187	-64.1261+0.7504i	-82.4937+0.7504i	-76.8751+0.7504i	-94.4877+0.7504i	-64.0988+0.7504i	-82.9665+0.7504i	-73.6599+0.7504i	-93.1255+0.7504i
0.1208	-64.1215+0.7504i	-82.4870+0.7504i	-76.8702+0.7504i	-94.4887+0.7504i	-64.1076+0.7504i	-82.9929+0.7504i	-73.6181+0.7504i	-93.1235+0.7504i
0.1229	-64.1251+0.7504i	-82.4879+0.7504i	-76.8704+0.7504i	-94.5341+0.7504i	-64.1139+0.7504i	-83.0092+0.7504i	-73.6722+0.7504i	-93.1272+0.7504i
0.1250	-64.1225+0.7504i	-82.4746+0.7504i	-76.8663+0.7504i	-94.5168+0.7504i	-64.1064+0.7504i	-83.0064+0.7504i	-73.6768+0.7504i	-93.1277+0.7504i
0.1271	-64.1251+0.7504i	-82.4722+0.7504i	-76.8630+0.7504i	-94.5251+0.7504i	-64.1027+0.7504i	-83.0042+0.7504i	-73.6802+0.7504i	-93.1227+0.7504i
0.1292	-64.1310+0.7504i	-82.5052+0.7504i	-76.8647+0.7504i	-94.5342+0.7504i	-64.1093+0.7504i	-83.0084+0.7504i	-73.7666+0.7504i	-93.1270+0.7504i
0.1313	-64.1310+0.7504i	-82.4998+0.7504i	-76.8595+0.7504i	-94.4824+0.7504i	-64.1143+0.7504i	-83.0443+0.7504i	-73.7850+0.7504i	-93.1275+0.7504i
0.1333	-64.1336+0.7504i	-82.5024+0.7504i	-76.8538+0.7504i	-94.4864+0.7504i	-64.1092+0.7504i	-83.0494+0.7504i	-73.7695+0.7504i	-93.1265+0.7504i
0.1354	-64.1295+0.7504i	-82.5080+0.7504i	-76.8512+0.7504i	-94.4789+0.7504i	-64.1093+0.7504i	-83.0409+0.7504i	-73.7893+0.7504i	-93.1241+0.7504i
0.1375	-64.1314+0.7504i	-82.5120+0.7504i	-76.8503+0.7504i	-94.4776+0.7504i	-64.1113+0.7504i	-83.0579+0.7504i	-73.8274+0.7504i	-93.1284+0.7504i
0.1396	-64.1382+0.7504i	-82.5142+0.7504i	-76.8470+0.7504i	-94.4742+0.7504i	-64.1121+0.7504i	-83.0916+0.7504i	-73.8397+0.7504i	-93.1270+0.7504i
0.1417	-64.1340+0.7504i	-82.5067+0.7504i	-76.8413+0.7504i	-94.4613+0.7504i	-64.1227+0.7504i	-83.1095+0.7504i	-73.8830+0.7504i	-93.1278+0.7504i
