Time (seconds)	TX1 (dB)	TX2 (dB)	TX3 (dB)	TX4 (dB)	TX5 (dB)	TX6 (dB)	TX7 (dB)	TX8 (dB)	
0.0000	-72.2644+0.7504i	-89.7125+0.7504i	-77.2228+0.7504i	-92.1974+0.7504i	-71.9018+0.7504i	-89.0493+0.7504i	-56.7464+0.7504i	-92.3221+0.7504i
0.0167	-72.2611+0.7504i	-89.7152+0.7504i	-77.2298+0.7504i	-92.2004+0.7504i	-71.9032+0.7504i	-89.0318+0.7504i	-56.7007+0.7504i	-92.3220+0.7504i
0.0333	-72.2572+0.7504i	-89.7200+0.7504i	-77.2283+0.7504i	-92.2004+0.7504i	-71.8999+0.7504i	-89.0260+0.7504i	-56.7071+0.7504i	-92.3229+0.7504i
0.0500	-72.2541+0.7504i	-89.7265+0.7504i	-77.2269+0.7504i	-92.2006+0.7504i	-71.8929+0.7504i	-89.0321+0.7504i	-56.7172+0.7504i	-92.3242+0.7504i
0.0667	-72.2537+0.7504i	-89.7326+0.7504i	-77.2259+0.7504i	-92.2011+0.7504i	-71.8819+0.7504i	-89.0474+0.7504i	-56.7303+0.7504i	-92.3252+0.7504i
0.0833	-72.2572+0.7504i	-89.7350+0.7504i	-77.2245+0.7504i	-92.2014+0.7504i	-71.8706+0.7504i	-89.0651+0.7504i	-56.7430+0.7504i	-92.3250+0.7504i
0.1000	-72.2640+0.7504i	-89.7324+0.7504i	-77.2228+0.7504i	-92.2016+0.7504i	-71.8620+0.7504i	-89.0792+0.7504i	-56.7489+0.7504i	-92.3234+0.7504i
0.1167	-72.2717+0.7504i	-89.7262+0.7504i	-77.2216+0.7504i	-92.2016+0.7504i	-71.8566+0.7504i	-89.0898+0.7504i	-56.7499+0.7504i	-92.3205+0.7504i
0.1333	-72.2786+0.7504i	-89.7192+0.7504i	-77.2213+0.7504i	-92.2018+0.7504i	-71.8527+0.7504i	-89.0953+0.7504i	-56.7508+0.7504i	-92.3174+0.7504i
0.1500	-72.2840+0.7504i	-89.7118+0.7504i	-77.2214+0.7504i	-92.2024+0.7504i	-71.8501+0.7504i	-89.0943+0.7504i	-56.7504+0.7504i	-92.3145+0.7504i
0.1667	-72.2877+0.7504i	-89.7048+0.7504i	-77.2222+0.7504i	-92.2031+0.7504i	-71.8493+0.7504i	-89.0863+0.7504i	-56.7503+0.7504i	-92.3124+0.7504i
0.1833	-72.2889+0.7504i	-89.6974+0.7504i	-77.2232+0.7504i	-92.2037+0.7504i	-71.8527+0.7504i	-89.0723+0.7504i	-56.7464+0.7504i	-92.3113+0.7504i
0.2000	-72.2882+0.7504i	-89.6896+0.7504i	-77.2250+0.7504i	-92.2038+0.7504i	-71.8616+0.7504i	-89.0543+0.7504i	-56.7368+0.7504i	-92.3114+0.7504i
0.2167	-72.2863+0.7504i	-89.6820+0.7504i	-77.2268+0.7504i	-92.2037+0.7504i	-71.8735+0.7504i	-89.0376+0.7504i	-56.7288+0.7504i	-92.3121+0.7504i
0.2333	-72.2832+0.7504i	-89.6769+0.7504i	-77.2286+0.7504i	-92.2036+0.7504i	-71.8829+0.7504i	-89.0268+0.7504i	-56.7232+0.7504i	-92.3124+0.7504i
0.2500	-72.2778+0.7504i	-89.6754+0.7504i	-77.2301+0.7504i	-92.2038+0.7504i	-71.8862+0.7504i	-89.0229+0.7504i	-56.7253+0.7504i	-92.3120+0.7504i
0.2667	-72.2710+0.7504i	-89.6767+0.7504i	-77.2305+0.7504i	-92.2040+0.7504i	-71.8837+0.7504i	-89.0224+0.7504i	-56.7323+0.7504i	-92.3115+0.7504i
0.2833	-72.2633+0.7504i	-89.6779+0.7504i	-77.2300+0.7504i	-92.2039+0.7504i	-71.8786+0.7504i	-89.0204+0.7504i	-56.7438+0.7504i	-92.3121+0.7504i
